# Simulation 3 (Up to date)
# 57 data points written for 7 variables.
#
# Время (s),Высота (m),Вертикальная скорость (m/s),Вертикальное ускорение (m/s²),Угловая скорость крена (°/s),Угловая скорость тангажа (°/s),Угловая скорость рысканья (°/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-8.9267,0,0,0
0.01,0,0,-7.0342,0,0,0
0.02,0,0,-3.6482,0,0,0
0.03,0,0,0.10174,0,0,0
0.04,5.1241e-6,0.0010267,4.0522,0,0,0
0.05,2.1808e-4,0.041568,8.8245,0,0,0
0.06,0.0010752,0.12986,13.689,0,0,0
0.07,0.0030584,0.26681,18.558,0,0,0
0.08,0.0066547,0.45246,22.177,0,0,0
0.09,0.012289,0.67432,27.333,0,0,0
# Event LIFTOFF occurred at t=0.1 seconds
0.1,0.020399,0.94779,33.548,0,0,0
0.11,0.031555,1.2834,38.952,0,0,0
0.12,0.046338,1.6732,43.023,0,0,0
0.13,0.065222,2.1036,45.68,0,0,0
0.14,0.088543,2.5607,44.549,0,0,0
0.15,0.11638,3.0064,40.344,0,0,0
0.16,0.14846,3.41,35.042,0,0,0
0.17,0.18431,3.7606,29.549,0,0,0
0.18,0.2234,4.0562,23.629,0,0,0
0.19,0.26514,4.2925,17.49,0,0,0
0.2,0.30894,4.4674,9.1869,0,0,0
0.21,0.35407,4.5593,4.5679,0,0,0
0.22,0.3999,4.605,0.031485,0,0,0
0.23,0.44595,4.6054,-4.0009,0,0,0
0.24,0.4918,4.5654,-8.2048,0,0,0
# Event BURNOUT occurred at t=0.25 seconds
0.25,0.53704,4.4834,-9.9762,0,0,0
0.26,0.58138,4.3836,-9.9691,0,0,0
0.27,0.62472,4.284,-9.9622,0,0,0
0.28,0.66706,4.1844,-9.9553,0,0,0
0.29,0.70841,4.0849,-9.9485,0,0,0
0.3,0.74876,3.9854,-9.9418,0,0,0
0.31,0.78811,3.886,-9.9354,0,0,0
0.32,0.82648,3.7867,-9.929,0,0,0
0.33,0.86385,3.6874,-9.9226,0,0,0
0.34,0.90023,3.5883,-9.9163,0,0,0
0.35,0.93561,3.4891,-9.9099,0,0,0
0.36,0.97001,3.3901,-9.9037,0,0,0
# Event LAUNCHROD occurred at t=0.37 seconds
0.37,1.0034,3.291,-9.8976,0,0,0
0.385,1.0517,3.1427,-9.8887,0,-0.43951,-2.1585e-5
0.4075,1.1199,2.9203,-9.876,0,-1.1483,-6.824e-5
0.44125,1.2128,2.5873,-9.8581,0,-2.4328,6.3511e-5
0.49125,1.3299,2.095,-9.8361,0,-4.701,1.1472e-4
0.54125,1.4223,1.6036,-9.8161,0,-6.967,1.9526e-4
0.59125,1.4902,1.1131,-9.8038,0,-8.2072,2.6901e-4
0.64125,1.5336,0.62314,-9.7979,0,-9.4577,3.1963e-4
0.69125,1.5526,0.13327,-9.7973,0,-10.719,3.835e-4
0.74125,1.547,-0.35662,-9.798,0,-11.9,4.4115e-4
# Event APOGEE occurred at t=0.79125 seconds
0.79125,1.5169,-0.84645,-9.7943,0,-12.981,4.3023e-4
0.84125,1.4623,-1.336,-9.7861,0,-13.946,3.9294e-4
0.89125,1.3833,-1.825,-9.7732,0,-14.813,3.6959e-4
0.94125,1.2798,-2.3133,-9.7574,0,-15.431,4.1624e-4
0.99125,1.152,-2.8007,-9.7418,0,-15.717,5.286e-4
1.0413,0.99979,-3.2874,-9.7242,0,-15.492,5.4222e-4
1.0913,0.82327,-3.7732,-9.7097,0,-14.276,4.9059e-4
1.1413,0.62248,-4.2585,-9.7033,0,-11.764,2.8533e-4
1.1913,0.39743,-4.7434,-9.6936,0,-8.0467,2.5117e-4
1.2384,0.1628,-5.2007,-9.6857,-3.8242e-7,-3.4412,4.1148e-4
# Event GROUND_HIT occurred at t=1.2742 seconds
# Event SIMULATION_END occurred at t=1.2742 seconds
